Stream,Interest,Math_Score,Communication_Score,Technical_Skill_Score,Creativity_Score,Aptitude_Score,Skill_Level,Recommended_Career
PCMB,Biotech,50,52,54,60,86,Advanced,Biomedical Engineer
PCB,Healthcare,82,63,42,80,68,Intermediate,Doctor
PCMB,Biotech,78,76,58,96,80,Intermediate,Genetic Engineer
Commerce,Finance,70,46,70,48,74,Intermediate,Investment Banker
Arts,Writing,87,55,69,86,64,Intermediate,Journalist
PCM,Engineering,62,67,93,76,42,Beginner,Software Developer
Commerce,Finance,59,47,54,74,42,Beginner,Financial Analyst
Arts,Writing,63,70,57,40,46,Beginner,Lawyer
PCMB,AI,85,48,84,98,41,Beginner,Biomedical Engineer
Commerce,Finance,77,99,61,98,63,Intermediate,Investment Banker
PCM,AI,50,40,91,75,93,Advanced,Mechanical Engineer
PCB,Medical,68,87,76,41,67,Intermediate,Biotechnologist
PCB,Research,87,58,91,93,80,Intermediate,Microbiologist
PCB,Research,73,68,64,70,86,Advanced,Microbiologist
PCM,Data,74,50,67,59,55,Beginner,Software Developer
Commerce,Marketing,40,81,74,76,68,Intermediate,Chartered Accountant
PCM,Data,68,72,75,81,55,Beginner,Civil Engineer
PCMB,AI,84,49,62,72,75,Intermediate,Bioinformatics Scientist
Commerce,Business,98,50,43,45,69,Intermediate,Chartered Accountant
Arts,Design,99,98,95,89,47,Beginner,Graphic Designer
Commerce,Finance,83,83,94,61,95,Advanced,Financial Analyst
Commerce,Business,40,90,94,86,72,Intermediate,Financial Analyst
PCM,Engineering,75,71,78,42,59,Beginner,Software Developer
PCB,Medical,65,79,90,95,60,Beginner,Doctor
PCMB,Biotech,95,94,62,52,72,Intermediate,Bioinformatics Scientist
PCM,AI,94,77,58,60,80,Intermediate,AI Engineer
Arts,Human Behavior,79,87,48,67,71,Intermediate,Graphic Designer
Commerce,Business,71,64,89,45,92,Advanced,Investment Banker
PCM,Data,95,74,63,96,79,Intermediate,Civil Engineer
PCM,Data,91,63,52,63,43,Beginner,AI Engineer
Arts,Design,77,53,92,88,70,Intermediate,Graphic Designer
Commerce,Marketing,81,48,88,97,88,Advanced,Business Analyst
PCMB,Biotech,64,98,88,47,94,Advanced,Bioinformatics Scientist
PCB,Healthcare,47,68,62,57,92,Advanced,Pharmacist
PCB,Medical,43,90,86,62,54,Beginner,Biotechnologist
Commerce,Marketing,100,51,97,61,41,Beginner,Financial Analyst
PCB,Research,49,87,45,61,81,Advanced,Microbiologist
Commerce,Marketing,55,72,98,78,80,Intermediate,Financial Analyst
PCMB,Research,100,73,74,42,87,Advanced,Genetic Engineer
Arts,Design,74,78,71,50,57,Beginner,Graphic Designer
PCMB,Research,58,79,57,89,45,Beginner,Bioinformatics Scientist
PCM,Technology,40,79,59,73,50,Beginner,Civil Engineer
PCMB,AI,54,74,68,93,89,Advanced,Biomedical Engineer
PCMB,AI,92,97,92,91,86,Advanced,Genetic Engineer
PCMB,Research,66,45,53,45,45,Beginner,Biomedical Engineer
PCMB,Research,100,92,66,41,88,Advanced,Bioinformatics Scientist
PCB,Medical,69,82,46,85,97,Advanced,Nutritionist
PCB,Medical,83,62,71,73,71,Intermediate,Biotechnologist
PCMB,Research,41,72,46,66,41,Beginner,Biomedical Engineer
PCM,AI,57,78,43,62,60,Beginner,Mechanical Engineer
Commerce,Marketing,99,50,87,60,63,Intermediate,Financial Analyst
PCMB,Biotech,61,52,60,65,56,Beginner,Biomedical Engineer
Commerce,Finance,69,90,100,92,50,Beginner,Financial Analyst
PCB,Medical,61,98,45,62,84,Advanced,Doctor
PCB,Healthcare,99,65,51,79,90,Advanced,Nurse
Arts,Human Behavior,81,83,98,84,63,Intermediate,Journalist
Commerce,Finance,43,95,72,98,49,Beginner,Investment Banker
Commerce,Marketing,77,96,47,45,45,Beginner,Financial Analyst
PCMB,Biotech,76,97,53,44,95,Advanced,Genetic Engineer
PCB,Research,81,94,70,40,50,Beginner,Pharmacist
PCMB,AI,95,75,61,87,77,Intermediate,Bioinformatics Scientist
PCB,Research,83,60,82,44,92,Advanced,Nutritionist
PCMB,AI,100,50,79,42,49,Beginner,Bioinformatics Scientist
Commerce,Marketing,72,67,69,79,91,Advanced,Financial Analyst
PCMB,Biotech,47,57,97,91,97,Advanced,Genetic Engineer
PCM,Engineering,61,92,58,59,58,Beginner,AI Engineer
Arts,Human Behavior,42,45,58,73,53,Beginner,Psychologist
PCMB,Research,88,55,66,65,88,Advanced,Biomedical Engineer
Commerce,Marketing,48,74,91,77,93,Advanced,Investment Banker
Commerce,Marketing,55,92,79,69,97,Advanced,Financial Analyst
PCB,Research,91,77,93,93,73,Intermediate,Microbiologist
PCMB,Research,52,91,84,43,60,Beginner,Genetic Engineer
PCM,Engineering,63,41,84,55,57,Beginner,AI Engineer
Commerce,Business,76,62,68,92,98,Advanced,Investment Banker
Arts,Writing,50,92,51,62,78,Intermediate,Psychologist
Commerce,Marketing,80,48,56,54,81,Advanced,Business Analyst
PCB,Medical,92,94,77,73,96,Advanced,Nurse
Commerce,Business,41,64,43,92,50,Beginner,Financial Analyst
Arts,Human Behavior,40,40,44,74,81,Advanced,Journalist
PCB,Medical,96,62,86,66,73,Intermediate,Nurse
Commerce,Finance,93,78,62,48,79,Intermediate,Chartered Accountant
PCB,Medical,47,97,91,49,67,Intermediate,Nurse
Commerce,Finance,81,93,74,76,42,Beginner,Business Analyst
PCM,AI,99,69,73,64,58,Beginner,Data Scientist
PCMB,Research,98,69,48,44,81,Advanced,Biomedical Engineer
PCMB,AI,81,50,90,74,69,Intermediate,Bioinformatics Scientist
PCMB,AI,58,87,94,58,62,Intermediate,Bioinformatics Scientist
PCMB,Biotech,82,60,49,74,66,Intermediate,Bioinformatics Scientist
Commerce,Finance,66,96,98,58,96,Advanced,Chartered Accountant
Commerce,Business,83,68,71,59,98,Advanced,Financial Analyst
Commerce,Marketing,77,85,77,64,59,Beginner,Chartered Accountant
PCM,Data,84,76,75,91,82,Advanced,Civil Engineer
Arts,Writing,44,56,64,57,100,Advanced,Graphic Designer
Arts,Design,79,65,73,66,81,Advanced,Psychologist
PCB,Research,75,61,46,50,98,Advanced,Microbiologist
PCM,Technology,75,58,85,75,62,Intermediate,AI Engineer
Arts,Design,74,79,60,88,42,Beginner,Journalist
PCM,AI,62,78,73,60,84,Advanced,Mechanical Engineer
PCB,Research,76,55,84,45,56,Beginner,Nutritionist
Arts,Human Behavior,40,95,57,84,56,Beginner,Lawyer
Commerce,Business,71,99,42,47,65,Intermediate,Business Analyst
PCMB,Biotech,97,91,40,76,97,Advanced,Genetic Engineer
PCMB,Biotech,95,67,99,58,86,Advanced,Bioinformatics Scientist
Arts,Design,85,73,64,95,94,Advanced,Journalist
Commerce,Marketing,71,71,43,47,86,Advanced,Chartered Accountant
PCB,Healthcare,82,55,82,53,76,Intermediate,Nurse
PCM,Engineering,42,61,43,92,82,Advanced,Software Developer
Commerce,Marketing,57,88,67,93,92,Advanced,Investment Banker
PCB,Medical,56,64,48,86,76,Intermediate,Microbiologist
Arts,Human Behavior,40,76,47,75,98,Advanced,Journalist
PCB,Healthcare,70,69,85,63,70,Intermediate,Nurse
Commerce,Finance,72,73,84,92,82,Advanced,Financial Analyst
Commerce,Marketing,79,53,89,47,60,Beginner,Investment Banker
Arts,Writing,62,49,46,90,42,Beginner,Graphic Designer
Arts,Writing,55,84,53,61,44,Beginner,Lawyer
PCMB,Biotech,89,48,60,73,69,Intermediate,Biomedical Engineer
Commerce,Finance,91,48,94,51,76,Intermediate,Investment Banker
Arts,Design,72,44,49,98,59,Beginner,Psychologist
PCB,Healthcare,58,82,51,84,82,Advanced,Pharmacist
PCMB,AI,97,73,65,84,51,Beginner,Biomedical Engineer
PCM,AI,67,98,63,80,87,Advanced,AI Engineer
Commerce,Marketing,40,89,50,99,69,Intermediate,Investment Banker
PCM,Data,73,57,73,89,62,Intermediate,Mechanical Engineer
Commerce,Marketing,94,100,74,95,59,Beginner,Investment Banker
PCM,Data,67,65,45,96,62,Intermediate,Civil Engineer
PCB,Medical,59,69,91,44,93,Advanced,Nutritionist
PCM,Technology,48,80,93,60,46,Beginner,Civil Engineer
PCB,Healthcare,60,78,95,61,62,Intermediate,Biotechnologist
Arts,Design,78,99,76,80,87,Advanced,Graphic Designer
PCM,AI,66,80,82,75,73,Intermediate,AI Engineer
PCB,Medical,63,44,86,97,59,Beginner,Nutritionist
PCB,Healthcare,58,74,53,63,82,Advanced,Nutritionist
PCB,Research,76,52,77,98,90,Advanced,Doctor
PCMB,Research,50,77,95,54,89,Advanced,Bioinformatics Scientist
PCB,Research,79,61,85,52,100,Advanced,Pharmacist
Arts,Human Behavior,65,54,44,96,49,Beginner,Graphic Designer
Commerce,Business,89,82,99,53,77,Intermediate,Investment Banker
Commerce,Marketing,96,51,93,77,94,Advanced,Financial Analyst
PCM,Data,71,99,86,92,61,Intermediate,Software Developer
PCB,Research,71,46,72,75,84,Advanced,Biotechnologist
PCM,Engineering,68,97,86,57,54,Beginner,Civil Engineer
Commerce,Business,73,43,58,55,60,Beginner,Business Analyst
PCB,Research,48,97,66,43,78,Intermediate,Doctor
PCMB,AI,71,62,52,65,80,Intermediate,Biomedical Engineer
Arts,Writing,62,55,85,49,57,Beginner,Lawyer
PCM,AI,84,50,79,67,51,Beginner,Software Developer
Arts,Human Behavior,100,42,96,41,68,Intermediate,Lawyer
PCMB,Research,67,45,71,69,78,Intermediate,Bioinformatics Scientist
PCB,Research,44,88,53,86,93,Advanced,Pharmacist
Arts,Human Behavior,46,59,98,89,79,Intermediate,Lawyer
PCM,Engineering,71,54,44,94,70,Intermediate,Software Developer
Arts,Writing,64,77,82,43,60,Beginner,Journalist
PCB,Medical,51,58,91,45,91,Advanced,Microbiologist
PCM,Data,68,47,83,47,96,Advanced,Civil Engineer
PCM,Data,73,91,83,53,65,Intermediate,AI Engineer
Commerce,Business,50,57,50,95,46,Beginner,Business Analyst
PCM,AI,64,60,65,61,100,Advanced,AI Engineer
PCM,Technology,59,91,91,73,86,Advanced,Mechanical Engineer
Commerce,Business,51,80,49,46,49,Beginner,Investment Banker
PCMB,Biotech,96,64,69,97,53,Beginner,Genetic Engineer
Commerce,Finance,96,70,82,87,72,Intermediate,Chartered Accountant
PCB,Medical,71,45,82,94,63,Intermediate,Biotechnologist
PCM,AI,45,72,49,99,91,Advanced,Civil Engineer
Commerce,Marketing,50,58,73,69,89,Advanced,Chartered Accountant
Commerce,Finance,98,56,77,67,90,Advanced,Chartered Accountant
PCB,Healthcare,61,42,49,91,41,Beginner,Microbiologist
PCB,Research,48,99,82,95,95,Advanced,Pharmacist
PCMB,Biotech,91,55,100,81,55,Beginner,Biomedical Engineer
Commerce,Marketing,69,81,72,87,74,Intermediate,Investment Banker
Arts,Writing,100,62,96,65,75,Intermediate,Psychologist
PCB,Research,45,89,40,80,66,Intermediate,Nutritionist
Arts,Human Behavior,72,42,47,64,40,Beginner,Journalist
Commerce,Business,80,47,43,95,59,Beginner,Financial Analyst
PCM,Technology,44,79,74,61,75,Intermediate,Civil Engineer
PCB,Healthcare,85,46,77,81,100,Advanced,Microbiologist
PCB,Healthcare,74,87,89,91,87,Advanced,Doctor
Arts,Writing,96,55,97,45,69,Intermediate,Lawyer
PCM,Engineering,75,70,58,47,58,Beginner,Software Developer
Commerce,Business,73,90,88,94,62,Intermediate,Investment Banker
PCB,Healthcare,70,41,57,66,97,Advanced,Pharmacist
Commerce,Finance,42,95,40,92,97,Advanced,Business Analyst
Commerce,Business,93,100,92,94,70,Intermediate,Financial Analyst
PCB,Healthcare,76,47,67,83,100,Advanced,Biotechnologist
PCM,Technology,57,43,61,93,53,Beginner,Data Scientist
PCB,Medical,71,59,99,98,58,Beginner,Biotechnologist
Arts,Writing,98,93,58,52,54,Beginner,Journalist
PCB,Research,72,77,92,95,60,Beginner,Biotechnologist
Arts,Writing,92,65,42,46,54,Beginner,Psychologist
PCM,Data,70,48,99,55,98,Advanced,AI Engineer
PCM,Engineering,85,87,54,93,52,Beginner,AI Engineer
PCM,Technology,95,42,94,96,100,Advanced,Civil Engineer
PCM,Data,45,74,70,91,66,Intermediate,Mechanical Engineer
PCM,Data,58,91,98,96,88,Advanced,AI Engineer
Arts,Writing,71,84,62,59,64,Intermediate,Lawyer
Commerce,Finance,52,83,82,58,60,Beginner,Chartered Accountant
PCB,Healthcare,49,78,50,61,49,Beginner,Nurse
Arts,Design,55,67,84,54,70,Intermediate,Psychologist
PCMB,Research,99,43,81,45,95,Advanced,Biomedical Engineer
Arts,Human Behavior,52,88,48,84,50,Beginner,Psychologist
PCB,Medical,91,96,49,54,60,Beginner,Biotechnologist
PCM,Technology,77,47,86,53,45,Beginner,Mechanical Engineer
Commerce,Marketing,66,42,60,49,40,Beginner,Business Analyst
Commerce,Finance,46,81,53,96,66,Intermediate,Financial Analyst
Arts,Design,63,90,40,43,40,Beginner,Lawyer
PCM,AI,41,100,59,72,48,Beginner,Civil Engineer
PCB,Medical,51,85,60,58,97,Advanced,Nutritionist
PCB,Research,93,95,45,86,73,Intermediate,Biotechnologist
PCM,Data,86,62,55,89,40,Beginner,Data Scientist
Commerce,Finance,41,54,60,44,40,Beginner,Financial Analyst
PCB,Medical,50,73,51,48,79,Intermediate,Biotechnologist
Arts,Design,44,93,85,79,98,Advanced,Psychologist
PCMB,Research,61,49,52,99,87,Advanced,Biomedical Engineer
PCM,Data,44,91,47,69,71,Intermediate,AI Engineer
Commerce,Finance,76,70,52,76,79,Intermediate,Investment Banker
Commerce,Finance,54,48,86,77,74,Intermediate,Chartered Accountant
PCM,AI,90,59,65,52,97,Advanced,Software Developer
Commerce,Finance,60,55,41,93,40,Beginner,Business Analyst
PCMB,Research,47,62,68,68,64,Intermediate,Bioinformatics Scientist
PCB,Research,51,48,47,45,99,Advanced,Doctor
Arts,Writing,99,84,58,78,74,Intermediate,Journalist
Arts,Human Behavior,85,89,96,54,44,Beginner,Lawyer
Arts,Design,98,79,53,64,92,Advanced,Journalist
Commerce,Business,44,62,54,67,66,Intermediate,Business Analyst
PCM,Engineering,78,59,92,67,43,Beginner,Software Developer
Arts,Human Behavior,40,91,68,55,80,Intermediate,Psychologist
Arts,Human Behavior,70,53,62,73,90,Advanced,Psychologist
Commerce,Marketing,47,95,77,72,65,Intermediate,Investment Banker
Commerce,Business,67,79,42,84,57,Beginner,Financial Analyst
Commerce,Business,73,51,53,41,52,Beginner,Financial Analyst
PCM,Engineering,51,57,65,41,65,Intermediate,Civil Engineer
PCM,AI,46,99,76,91,43,Beginner,Mechanical Engineer
PCMB,Biotech,86,66,73,87,64,Intermediate,Genetic Engineer
PCMB,Research,55,97,51,93,68,Intermediate,Bioinformatics Scientist
PCMB,Research,63,56,52,63,78,Intermediate,Genetic Engineer
Commerce,Marketing,56,67,87,90,69,Intermediate,Financial Analyst
PCMB,Biotech,53,86,100,48,77,Intermediate,Genetic Engineer
Commerce,Finance,83,84,100,84,49,Beginner,Investment Banker
PCMB,AI,61,67,79,89,54,Beginner,Biomedical Engineer
PCM,Engineering,90,52,97,82,60,Beginner,Software Developer
Arts,Writing,75,46,69,60,45,Beginner,Graphic Designer
PCM,Data,98,94,53,61,58,Beginner,AI Engineer
Commerce,Business,48,71,97,85,59,Beginner,Investment Banker
PCMB,AI,54,97,83,81,96,Advanced,Biomedical Engineer
Commerce,Finance,94,43,46,47,40,Beginner,Chartered Accountant
Commerce,Marketing,66,53,95,82,99,Advanced,Business Analyst
PCB,Medical,46,83,55,45,71,Intermediate,Nutritionist
PCMB,Biotech,53,67,56,61,84,Advanced,Genetic Engineer
Arts,Writing,65,96,78,82,78,Intermediate,Journalist
Commerce,Finance,64,60,47,76,99,Advanced,Business Analyst
Arts,Writing,59,89,86,43,91,Advanced,Journalist
Arts,Design,90,46,76,54,57,Beginner,Graphic Designer
Commerce,Marketing,56,92,72,49,92,Advanced,Chartered Accountant
PCB,Healthcare,67,80,67,83,84,Advanced,Nurse
Arts,Writing,48,98,58,42,98,Advanced,Lawyer
Commerce,Marketing,87,40,96,70,62,Intermediate,Chartered Accountant
Commerce,Finance,79,78,95,72,44,Beginner,Financial Analyst
PCMB,Biotech,45,63,43,63,56,Beginner,Biomedical Engineer
PCM,AI,81,75,41,75,61,Intermediate,AI Engineer
Commerce,Finance,83,59,95,64,93,Advanced,Business Analyst
Commerce,Finance,71,42,66,47,52,Beginner,Investment Banker
Arts,Human Behavior,61,85,53,93,69,Intermediate,Psychologist
Commerce,Business,69,41,42,49,90,Advanced,Chartered Accountant
PCB,Medical,48,52,78,90,91,Advanced,Doctor
PCMB,Research,76,75,91,68,82,Advanced,Bioinformatics Scientist
PCM,Data,77,100,59,79,94,Advanced,Software Developer
Commerce,Marketing,61,61,48,94,59,Beginner,Chartered Accountant
PCMB,AI,60,44,44,90,63,Intermediate,Biomedical Engineer
Arts,Writing,49,77,94,79,93,Advanced,Journalist
PCMB,Research,63,48,40,45,74,Intermediate,Bioinformatics Scientist
PCMB,Biotech,71,91,65,51,80,Intermediate,Biomedical Engineer
PCMB,Biotech,82,42,76,86,79,Intermediate,Biomedical Engineer
PCM,AI,99,65,95,49,56,Beginner,Data Scientist
PCMB,Research,41,79,73,49,60,Beginner,Bioinformatics Scientist
Commerce,Marketing,56,56,64,45,95,Advanced,Financial Analyst
PCB,Research,52,44,47,59,83,Advanced,Microbiologist
Commerce,Business,99,70,46,92,51,Beginner,Business Analyst
